id,igra_id,ocena,komentar,datum_ocene
1,1,9,"Zelo dober gameplay, a manjka globine",2024-09-06
2,1,6,"Fantastična zgodba, popoln zaključek",2024-02-19
3,1,10,Izjemna avantura s čudovito grafiko,2024-02-12
4,1,6,Zabavno za več igralcev,2024-09-08
5,2,10,Zelo dobra za ljubitelje simulacij,2024-05-21
6,2,9,"Zabavna, čeprav nekoliko kratka",2024-06-02
7,3,9,Odlična glasba in občutek igranja,2024-09-28
8,3,9,Igralno lepo uravnotežena,2024-04-06
9,4,10,Vrhunska fizika in svoboda,2024-10-19
10,4,7,Igralno lepo uravnotežena,2024-04-27
11,4,6,Adrenalinska vožnja kot nobena druga,2024-05-26
12,5,9,Mojstrovina! Igral bom še večkrat,2024-06-18
13,6,7,Mojstrovina! Igral bom še večkrat,2024-04-15
14,6,10,Dober ambient in močan soundtrack,2024-05-14
15,6,6,"Fantastična zgodba, popoln zaključek",2024-08-07
16,7,7,"Noro dobra akcija, brez premora!",2024-01-21
17,7,10,Igralno lepo uravnotežena,2024-09-07
18,8,8,"Preveč ponavljajoče, hitro postane dolgočasno",2024-05-07
19,9,9,"Fantastična zgodba, popoln zaključek",2024-08-16
20,9,9,Mojstrovina! Igral bom še večkrat,2024-08-18
21,10,7,Mojstrovina! Igral bom še večkrat,2024-07-02
22,10,10,Ni izstopalo,2024-08-31
23,11,10,Izjemna avantura s čudovito grafiko,2024-06-27
24,11,8,"Preveč ponavljajoče, hitro postane dolgočasno",2024-02-19
25,12,9,"Fantastična zgodba, popoln zaključek",2024-01-28
26,12,10,Odlična glasba in občutek igranja,2024-06-29
27,13,9,Izjemna avantura s čudovito grafiko,2024-05-15
28,14,9,"Temna, a zelo zadovoljiva izkušnja",2024-03-28
29,14,6,"Noro dobra akcija, brez premora!",2024-01-03
30,14,9,Dober ambient in močan soundtrack,2024-02-23
31,14,6,Pogrešam boljšo optimizacijo,2024-06-17
32,14,10,Vrhunska fizika in svoboda,2024-01-18
33,15,9,"Preveč ponavljajoče, hitro postane dolgočasno",2024-03-02
34,15,9,"Preveč ponavljajoče, hitro postane dolgočasno",2024-07-19
35,15,10,"Težko, a pošteno!",2024-02-10
36,16,8,Epsko doživetje – priporočam!,2024-02-14
37,16,10,"Fantastična zgodba, popoln zaključek",2024-08-06
38,16,7,Epsko doživetje – priporočam!,2024-10-12
39,17,10,Vrhunska fizika in svoboda,2024-01-19
40,17,10,"Igra ima potencial, a je hroščata",2024-08-21
41,17,8,Dober ambient in močan soundtrack,2024-08-13
42,17,10,Zabavno za več igralcev,2024-05-10
43,18,9,Mojstrovina! Igral bom še večkrat,2024-01-27
44,18,6,Mojstrovina! Igral bom še večkrat,2024-08-02
45,18,7,Ni izstopalo,2024-03-23
46,18,7,"Noro dobra akcija, brez premora!",2024-03-25
47,19,10,"Zabavna, čeprav nekoliko kratka",2024-03-13
48,19,9,"Zelo dober gameplay, a manjka globine",2024-09-07
49,19,8,"Zabavna, čeprav nekoliko kratka",2024-10-19
50,20,10,Mojstrovina! Igral bom še večkrat,2024-08-18
51,20,10,Igralno lepo uravnotežena,2024-04-19
52,21,9,"Preveč ponavljajoče, hitro postane dolgočasno",2024-09-15
53,21,6,Igralno lepo uravnotežena,2024-01-12
54,22,9,"Zabavna, čeprav nekoliko kratka",2024-07-23
55,22,10,Ni izstopalo,2024-09-10
56,23,7,"Noro dobra akcija, brez premora!",2024-09-12
57,23,6,"Preveč ponavljajoče, hitro postane dolgočasno",2024-06-28
58,24,7,Odlična glasba in občutek igranja,2024-01-06
